tcp.time_delta,tcp.len,mqtt.dupflag,mqtt.retain,tcp_FIN,tcp_PSH,mqtt.qos,mqtt_len_log,mqtt.payload_entropy,mqtt.topic.len,clientid,label
4.999235000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.652137963890964,21.0,TempSensor_R1_3,0.0
1.364396000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.324309452719443,21.0,Meter_P3_2,0.0
3.590161000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_1,0.0
1.103888000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
9.341943000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
1.519687000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
9.999030000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.6203919321449325,21.0,TempSensor_R1_2,0.0
4.998758000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.594842083344347,21.0,TempSensor_R1_3,0.0
2.309859000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.277797824812466,21.0,Meter_P3_2,0.0
6.716882000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_1,0.0
3.708237000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.277797824812466,21.0,Meter_P3_2,0.0
9.998899000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.703647686078845,21.0,TempSensor_R1_1,0.0
4.999052000,89.0,0.0,0.0,0.0,1.0,1.0,4.477336814478207,4.660021617523528,21.0,TempSensor_R1_3,0.0
8.169709000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
3.204481000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
9.999276000,89.0,0.0,0.0,0.0,1.0,1.0,4.477336814478207,4.627763553007399,21.0,TempSensor_R1_2,0.0
4.998537000,89.0,0.0,0.0,0.0,1.0,1.0,4.477336814478207,4.583329883617666,21.0,TempSensor_R1_3,0.0
3.086691000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.277797824812466,21.0,Meter_P3_2,0.0
7.676488000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_1,0.0
6.815562000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
21.363861000,91.0,0.0,0.0,0.0,1.0,1.0,4.499809670330265,4.783455120521058,20.0,DoorSensor_E2_1,0.0
9.998928000,89.0,0.0,0.0,0.0,1.0,1.0,4.477336814478207,4.627763553007399,21.0,TempSensor_R1_1,0.0
4.643095000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.434888231839524,21.0,Meter_P3_2,0.0
4.998599000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.620391932144932,21.0,TempSensor_R1_3,0.0
2.186219000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
6.992976000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.324309452719443,21.0,Meter_P3_1,0.0
1.936665000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
9.997239000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.6203919321449325,21.0,TempSensor_R1_2,0.0
4.999190000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.715630027383027,21.0,TempSensor_R1_3,0.0
3.248281000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_1,0.0
3.342123000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
9.999087000,89.0,0.0,0.0,0.0,1.0,1.0,4.477336814478207,4.692279682039656,21.0,TempSensor_R1_1,0.0
4.998483000,89.0,0.0,0.0,0.0,1.0,1.0,4.477336814478207,4.692279682039656,21.0,TempSensor_R1_3,0.0
13.058334000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
5.539210000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.434888231839524,21.0,Meter_P3_1,0.0
4.384763000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
9.998140000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.671901654332813,21.0,TempSensor_R1_2,0.0
3.056655000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
4.997879000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.703647686078845,21.0,TempSensor_R1_3,0.0
4.520990000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_1,0.0
9.999217000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.594842083344348,21.0,TempSensor_R1_1,0.0
4.919178000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
4.997970000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.608409590840751,21.0,TempSensor_R1_3,0.0
3.638306000,67.0,0.0,0.0,0.0,1.0,0.0,4.189654742026425,4.32971764937184,21.0,Meter_P3_2,0.0
7.871529000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_1,0.0
13.616373000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
1.022863000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
9.999049000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.683883995636996,21.0,TempSensor_R1_2,0.0
4.999248000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.715630027383027,21.0,TempSensor_R1_3,0.0
1.142265000,93.0,0.0,0.0,0.0,1.0,1.0,4.5217885770490405,4.823041242470543,20.0,DoorSensor_E2_1,0.0
4.654240000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
9.999848000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.715630027383027,21.0,TempSensor_R1_1,0.0
6.159937000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.434888231839524,21.0,Meter_P3_1,0.0
4.998684000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.608409590840751,21.0,TempSensor_R1_3,0.0
4.375023000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_2,0.0
4.270748000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
9.997448000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.6281732812826,21.0,TempSensor_R1_2,0.0
4.999402000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.620391932144932,21.0,TempSensor_R1_3,0.0
2.062800000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
0.027103000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_1,0.0
9.999473000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.747376059129059,21.0,TempSensor_R1_1,0.0
4.020183000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
3.325294000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.324309452719443,21.0,Meter_P3_1,0.0
4.998344000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.671901654332814,21.0,TempSensor_R1_3,0.0
0.467425000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.277797824812466,21.0,Meter_P3_2,0.0
8.560271000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
2.164669000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.434888231839524,21.0,Meter_P3_2,0.0
9.997471000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.652137963890964,21.0,TempSensor_R1_2,0.0
4.998704000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.703647686078845,21.0,TempSensor_R1_3,0.0
6.119207000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.388376603932547,21.0,Meter_P3_1,0.0
3.380059000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.324309452719443,21.0,Meter_P3_2,0.0
1.652335000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
9.999180000,89.0,0.0,0.0,0.0,1.0,1.0,4.477336814478207,4.672197222397132,21.0,TempSensor_R1_1,0.0
